A&A	Astronomy and Astrophysics
RELEA	Latin American Journal of Astronomy Education
RemS	Remote Sensing
ReNEv	Research in Nondestructive Evaluation
Resea	Research
ResPh	Results in Physics
RF	Raumfahrtforschung
RFrG	Revue Francaise de Geotechnique
RFrM	Revue Francaise de Mecanique
RGAO	Astronomical Observations made at the Royal Observatory at Greenwich
RGG	Reports on Geodesy and Geoinformatics
RGOB	Royal Greenwich Observatory Bulletins
RGRH	Rep. Hydrograph. Res. Japan
RHRJ	Report of Hydrographic Researches in Japan
RIG	Rivista Italiana di Geofisica
Rise	Rise Hvezd
RJARA	Russian Journal of Astrophysical Research Series A
RJMP	Russian Journal of Mathematical Physics
RJPCA	Russian Journal of Physical Chemistry A
RLOpt	Research Letters in Optics
RLPhy	Research Letters in Physics
RLSFN	Rendiconti Lincei. Scienze Fisiche e Naturali
RMFMR	Rock Mechanics Felsmechanik Mecanique des Roches
RMRE	Rock Mechanics and Rock Engineering
RMTME	USSR Rept Machine Tools Metalworking Equipment JPRS UMM
RMxAA	Revista Mexicana de Astronomia y Astrofisica
RMxAA...3	Revista Mexicana de Astronomia y Astrofisica, vol. 3
RMxAA...6	Revista Mexicana de Astronomia y Astrofisica, vol. 6
RMxAA...7	Revista Mexicana de Astronomia y Astrofisica, vol. 7
RMxAA..10	Revista Mexicana de Astronomia y Astrofisica, vol. 10
RMxAA..12	Revista Mexicana de Astronomia y Astrofisica, vol. 12
RMxAA..14	Revista Mexicana de Astronomia y Astrofisica, vol. 14
RMxAA..18	Revista Mexicana de Astronomia y Astrofisica, vol. 18
RMxAA..19	Revista Mexicana de Astronomia y Astrofisica, vol. 19
RMxAA..21	Revista Mexicana de Astronomia y Astrofisica, vol. 21
RMxAA..23	Revista Mexicana de Astronomia y Astrofisica, vol. 23
RMxAA..26	Revista Mexicana de Astronomia y Astrofisica, vol. 26
RMxAA..29	Revista Mexicana de Astronomia y Astrofisica, vol. 29
RMxAC	Revista Mexicana de Astronomia y Astrofisica Conference Series
RMxAC..27	Revista Mexicana de Astronomia y Astrofisica, vol. 27
RMxF	Revista Mexicana de Fisica
RMxFE	Revista Mexicana de Fisica E
RMxFS	Revista Mexicana de Fisica Supplement
RNAAS	Research Notes of the American Astronomical Society
RNAO	Resultados del Observatorio Nacional Argentino
RNAOJ	Report of the National Astronomical Observatory of Japan
RNISZ	Rezultaty Nabliudenii Iskusstvennykh Sputnikov Zemli
RNOST	Research News & Opportunities in Science and Theology
RoAJ	Romanian Astronomical Journal
ROAn	Royal Observatory Annals
Robot	Robotica
ROCi	Republic Observatory Johannesburg Circular
ROCor	Resultados del Observatorio Nacional Argentino en Cordoba
Roczn	Rocznik Astronomiczny Observatorjum Krakowskiego Krakow
RoDok	Rossijskaya Akademiya Nauk Doklady
roe..rept	Royal Observatory, Edinburgh Report
RoIE	Rossiiskaia Akademiia Nauk Izvestiia Energetika
RoIET	Rozprawy Inzynierskie Engineering Transactions
RoIMT	Rossijskaya Akademiya Nauk Izvestiya Mekhanika Tverdogo Tela
RoIMZ	Rossiiskaia Akademiia Nauk Izvestiia Mekhanika Zhidkosti i Gaza
RoIn	Rozprawy Inzynierskie
RoISF	Rossiiskaia Akademiia Nauk Izvestiia Seriia Fizicheskaia
RoIzF	Rossijskaya Akademiya Nauk Izvestiya Seriya Fizicheskaya
RoJPh	Romanian Journal of Physics
ROLun	Reports of the Lund Observatory
RomCo	Osservatorio Astronomico di Roma su Monte Mario Contributi Scientifici
RoRPh	Romanian Reports in Physics
RosOB	Observatorio Astronomico Municipal de Rosario Argentia Boletin
RpBAM	USSR Report Space Biology Aerospace Medicine JPRS USB
RpCCA	USSR Report Cybernetics Computers Automation Technology JPRS UCC
RpEE	USSR Rept Eng Equipment JPRS UEQ
RpEEE	USSR Rept Electron Elec Eng JPRS UEE
RpEn	USSR Rept Energy JPRS UEN
RpESc	USSR Report Earth Sciences JPRS UES
RPFSU	Research Papers Faculty of Materials Science and Technology Slovak University of Technology
RpMP	Reports on Mathematical Physics
RpMSM	USSR Rept Mater Sci Met JPRS
RPPh	Reports on Progress in Physics
RpPhM	USSR Rept Phys Math JPRS UPM
RPRA	Radio Physics and Radio Astronomy
RpSBA	USSR Rept Space Biol Aerospace Med Sep
RpScT	JPRS Report Science Technology USSR Space
RpSpR	USSR Report Space
RpTr	USSR Rept Transportation JPRS UTR
RRDAP	Recent Research Development in Applied Physics
RRDBB	Recent Research Development in Biophysics and Biochemistry
RRDBC	Recent Research Development in Biophysical Chemistry
RRDCP	Recent Research Development in Chemical Physics
RRDP	Recent Research Development in Physics
RRDPC	Recent Research Development in Physical Chemistry
RRDPF	Recent Research Development in Physics of Fluids
RRDSP	Recent Research Development in Statistical Physics
RRMPA	Revue Roumaine de Mathematiques Pures et Appliquees
RRP	Research Reports in Physics
RRPRA	Russian Radio Physics and Radio Astronomy
RSAI	Riunione della Societa Astronomica Italiana
RSCAd	RSC Advances
RScEd	Research in Science Education
RScI	Review of Scientific Instruments
RSCT	Transactions of the Royal Society of Canada
rse.....1	International Symposium on Remote Sensing of Environment
RSEMS	Remote Sensing Electro Magnetic Spectrum
RSEnv	Remote Sensing of Environment
RSEPS	Proceedings of the Royal Society of Edinburgh
RSESS	Remote Sensing in Earth Systems Sciences
RSET	Transaction of the Royal Society of Edinburgh
RSN&R	Royal Society of London Notes & Records
RSNSW	Journal and Proceedings of the Royal Society of New South Wales
RSOS	Royal Society Open Science
RSPS	Proceedings of the Royal Society of London Series I
RSPSA	Proceedings of the Royal Society of London Series A
RSPSB	Proceedings of the Royal Society of London Series B
RSPT	Philosophical Transactions of the Royal Society of London Series I
RSPTA	Philosophical Transactions of the Royal Society of London Series A
RSPTB	Philosophical Transactions of the Royal Society of London Series B
RSPUT	Report Series of the Department of Physics and Science, University of Turku
RSQ	Remote Sensing Quarterly
RST	Revue Scientifique et Technique CECLES CERS
RSTEd	Research in Science and Technological Education
RTP	Research Trends in Physics
RTRE	Radiotekhnika Tecommunications Radio Engineering Radio Engineering
RTrTe	Revista Transporturilor si Telecomunicatiilor
RTSRE	Robotic Telescope, Student Research and Education Proceedings
RuAer	Russian Aeronautics
RuCRv	Russian Chemical Reviews
RuGG	Russian Geology and Geophysics
Ruimt	Ruimtevaart
RuMaS	Russian Mathematical Surveys
RuMet	Russian Metallurgy
RuPhJ	Russian Physics Journal
RvA	Revista Astronomica Organo de la Asociacion Argengina Amigos de la Astronomia Buenos Aires
RvAc	Revue d'Acoustique
RvAMS	Reviews on Advanced Materials Science
RvAqS	Reviews in Aquatic Sciences
RvAST	Reviews of Accelerator Science and Technology
RvCF	Revista Colombiana de Fisica
RvGeo	Reviews of Geophysics
RvGeS	Reviews of Geophysics Supplement
RvGSP	Reviews of Geophysics and Space Physics
RvMA	Reviews in Modern Astronomy
RvMad	Revista Real Acad. Ciencias Exact. Fis. Nat. Madrid
RvMaP	Reviews in Mathematical Physics
RvMG	Reviews in Mineralogy and Geochemistry
RvMin	Reviews of Mineralogy
RvMP	Reviews of Modern Physics
RvMPP	Reviews of Modern Plasma Physics
RvMPS	Reviews of Modern Physics Supplement
RvOp	Reviews of Optics
RvPA	Revue de Physique Appliquee
RvPD	Revue du Palais de la Decouverte
RvPhy	Reviews in Physics
RvPP	Reviews of Plasma Physics
RvPT	Review of Physics in Technology
RvRP	Revue Roumaine de Physique
RvRRL	Reviews of the Radio Research Laboratory
RvRST	Revue Roumaine des Sciences Techniques Serie de Mecanique Appliquee
RvT	Revue Technique Thomson CSF
RvTS	Rivista Tecnica Selenia
RWPWZ	Rostock Wilhelm Pieck Universitaet Wissenschaftliche Zeitschrift Mathematisch Naturwissenschaftliche Reihe
RWTHA	Rheinisch Westfaelische Technische Hochschule Aerodynamisches Institut Abhandlungen
rxte.prop	RXTE Proposal
RZh	Referationyj Zhurnal
S&GS	Science and Global Security
S&SS	Stars and Stellar Systems
S&T	Sky and Telescope
S&W	Sterne und Weltraum
SAAOC	South African Astronomical Observatory Circular
SAAOR	South African Astronomical Observatory Republic
Sadha	Sadhana
SAERI	Seoul Korea Atomic Energy Research Institute
saic.rept	Science Applications International Corp. Report
SAJPh	South African Journal of Physics
SAJSc	South African Journal of Science
SAMPJ	SAMPE Journal
SAMPQ	SAMPE Quarterly
SAnAp	Supplements aux Annales d'Astrophysique
SanS	Separata Universidad de Chile Departamento de Astronomia Santiago
SANUG	Srpska Akademiia Nauka i Umetnosti Glas Odeljenje Tekhnichkikh Nauka
sao..rept	Smithsonian Astrophysical Observatory Report
SAOSR	SAO Special Report
SASn	Studia Astronomica Sinica
SASS	Society for Astronomical Sciences Annual Symposium
SatCo	Satellite Communications
SBARM	SBARMO Bulletin
sbim....1	Foundations of Space Biology and Medicine
SbMat	Sbornik: Mathematics
SBuil	Sustainable Buildings
Sc&Ed	Science & Education
Sc&Te	Sciences et Techniques
SCA	Studii si Cercetari de Astronomie Bucuresti
SCB	Seminars in Cancer Biology
ScChA	Science in China A: Mathematics
ScChB	Science in China B: Chemistry
ScChD	Science China Earth Sciences
ScChE	Science in China E: Technological Sciences
ScChG	Science in China: Physics, Mechanics and Astronomy
ScChM	Science in China e-Engineering & Materials Science
ScEdR	Science Education Research
SchpJ	Scholarpedia
Sci	Science
SciA	Science Advances
SciAm	Scientific American
SciB	Scientia (Bologna)
SciBu	Science Bulletin
SciDi	Science Dimension
SciDr	Scientific Drilling
SciEd	Science Education
SciIn	Science and Innovation
Scim	Scientometrics
SciMo	The Scientific Monthly
SciN	Science News
SciNa	The Science of Nature
Scis	Sciences
SciSn	Scientia Sinica
ScM	Scripta Metallurgica
ScMM	Scripta Metallurgica et Materialia
SCMP	Studies in Condensed Matter Physics
SCoA	Smithsonian Contributions to Astrophysics
SCoK	Smithsonian Contributions to Knowledge
ScPA	SciPost Astronomy
SCPMA	Science China Physics, Mechanics, and Astronomy
ScPP	SciPost Physics
ScPPL	SciPost Physics Lecture Notes
ScPPP	SciPost Physics Proceedings
ScPr	Science Progress
ScReE	Scholarly Research Exchange
SCSA	Science and Culture Series: Astrophysics
SCSMP	Science China Series Mathematics Physics Astronomy Technological Sciences
SCSP	Science and Culture Series: Physics
ScTea	The Science Teacher
ScTEn	Science of the Total Environment
SeAc	Sensors and Actuators
SECM	Science and Engineering of Composite Materials
SedG	Sedimentary Geology
Sedim	Sedimentology
SEEJ	Society of Environmental Engineers Journal
SEGeo	Seismology and Exploration Geophysics
SeiKa	Seikei-Kakou
Semic	Semiconductors
SenAR	Sendai Astronomiaj Raportoj
SenIm	Sensing and Imaging
Senso	Sensors
SerAJ	Serbian Astronomical Journal
SeScT	Semiconductor Science Technology
SESP	Solid Earth and Space Physics
SFCh	Science Foundation in China
SFNew	Star Formation Newsletter
SFPTB	Societe Francaise de Photogrammetrie et de Teledetection Bulletin
SFSN	Scripta Faculty Science Nat. Ujep Brunensis Physica
SGC	Stratigraphy and Geological Correlation
sgd..rept	Solar Geophysical Data Reports
SGeo	Surveys in Geophysics
SGORS	Studies in Geophysical Optics and Remote Sensing
SHAN	Society for History of Astronomy News
SHEP	Surveys in High Energy Physics
SHH	Stochastic Hydrology and Hydraulics
SHM	Self-Healing Materials
ShMeS	Shape Memory and Superelasticity
SHMPS	Sources in the History of Mathematics and Physical Sciences
SHPMP	Studies in the History and Philosophy of Modern Physics
ShWav	Shock Waves
SIAM	Society of Industrial and Applied Mathematics
SIAMR	SIAM Review
SIBAN	Sofia Izdatel Bolgarskoi Akademii Nauk
SidM	Sidereal Messenger
SIDPQ	SID Proceedings Quarter
SiFoE	Siemens Forschungs und Entwicklungsberichte
SiFTZ	Sibirskii Fiziko Tekhnicheskii Zhurnal
Sig	Signal
SIGMA	SIGMA
SigPr	Signal Processing
SiMol	Single Molecules
SImpa	Software Impacts
Simul	Simulation
SISN	Science Information Systems Newsletter
SiSSR	Akademiia Nauk SSSR Sibirskoe Otdelenie Izvestiia Seriia Tekhnicheskie Nauki
Situ	Situ
SJADS	SIAM Journal on Applied Dynamical Systems
SJAM	SIAM Journal of Applied Mathematics
SJCE	Slovak Journal of Civil Engineering
SJCO	SIAM Journal of Control Optimization
SJMA	SIAM Journal of Mathematical Analysis
SJNA	SIAM Journal on Numerical Analysis
SJRUE	Scientific Journal of Riga Technical University. Environmental and Climate Technologies
SJRUP	Scientific Journal of Riga Technical University. Power and Electrical Engineering
SkInq	Skeptical Inquirer
SkyN	Sky News
SlaOb	Slaboproudy Obzor
SLJP	Sri Lankan Journal of Physics
SLSci	Space Life Sciences
SMArc	Solid Mechanics Archives
SMaS	Smart Material Structures
SMat	Soft Matter
SmCES	Smithsonian Contributions to the Earth Sciences
Smith	Smithsonian
smrmmrept	Solar Microwave Radiation Maps Measured at Metsaehovi Radio Research Station
SMS	Scientific Modeling and Simulation SMNS
smse.rept	Space Mathematics for the Preparation and the Development of Satellite Exploitations
SMSPS	Stephan Mueller Special Publication Series
SMTS	Soprotivlenie Materialov i Teoriia Sooruzhenii
SNG	Schweizerische Naturforschende Gesellschaft
SoByu	Soobshcheniya Byurakanskoj Observatorii Akademiya Nauk Armyanskoj SSR Erevan
SoCe	Solar Cells
SoEn	Solar Energy
SoEnM	Solar Energy Materials
SoftX	SoftwareX
SoGru	Akademiia Nauk Gruzii Soobshcheniia
SOIL	SOIL
SOILD	SOIL Discussions
SoilS	Soil Science
SoKie	Sonderdrucke der Sternwarte Kiel
SOLA	SOLA - Scientific Online Letters on the Atmosphere
SolE	Solid Earth
SolED	Solid Earth Discussions
SoMue	Sonderdrucke Universitaet Muenster Astronomisches Institut
Sonne	Sonne
SoPh	Solar Physics
SoSAO	Soobshcheniya Spetsial'noj Astrofizicheskoj Observatorii
SoShe	Soobshchenie Shemakhinskoj Astrofizicheskoj Observatorii
SoSht	Soobshcheniya Gosudarstvennogo Astronomicheskogo Instituta
SoSyR	Solar System Research
SouSt	Southern Stars
SovAe	Soviet Aeronomii
Space	Space
Spark	Spark, the AAS Education Newsletter
SPAW	Sitzungsberichte der K&ouml;niglich Preussischen Akademie der Wissenschaften
SPBra	Scientific Proceedings Faculty of Mechanical Engineering STU in Bratislava
SpCoB	Space Communication Broadcasting
SpCom	Space Communications
SpCul	Space and Culture
SPD	AAS/Solar Physics Division Meeting
SpDeb	Space Debris
SpecL	Spectroscopy Letters
SpEd	Space Education
SpFl	Spaceflight
SPhAc	Soviet Physics Acoustics
SPhD	Soviet Physics Doklady
SPIE	Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series
SPIE1	Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series
Spika	Spika
Spin	Spin
SPJCE	Selected Scientific Papers - Journal of Civil Engineering
SpMar	Space Markets
SpMME	Space Medicine Medical Engineering
SPPhy	Springer Proceedings in Physics
SpPol	Space Policy
SpPow	Space Power
SpRBu	Space Research Bulgaria
spre.conf	Space Research Conference
SpReJ	Space Research Journal
SpReT	Space Research Today
SPRMD	Space Power - Resources, Manufacturing and Development
SpScI	Space Science International
SpScT	Space: Science and Technology
SpT	Space Technology
SPTP	Soviet Physics Technical Physics
SPTS	Sensor Physics and Technology Series
sptz.prop	Spitzer Proposal
Spvw	Spaceview
SpWd	Space World
SpWdU	Space World U
SpWdW	Space World W
SpWdY	Space World Y
SpWea	Space Weather
sri..rept	Southwest Research Inst. Report
SRL	Surface Review and Letters
SrLJP	Sri Lankan Journal of Physics
SRMO	Specula Regia Monachiensi Observationes astronomicae
SRPI	Safety and Reliability of Power Industry
SRToh	Sci. Rep. Tohoku Univ. Eighth Ser.
SRXPh	SRX Physics
SSAOP	Springer Series on Atomic Optical and Plasma Physics
SSASJ	Soil Science Society of America Journal
SScEd	Studies in Science Education
SSChP	Springer Series on Chemical Physics
SSCom	Solid State Communications
SSCP	Springer Verlag Springer Series on Chemical Physics
SScT	Speculations in Science and Technology
SSEle	Solid State Electronics
SSEp	Springer Verlag Springer Series on Electrophysics
SSGSR	Springer Verlag Springer Series on Group Geophysics Space Research
SSHMP	Sources and Studies in the History of Mathematics and Physical Sciences
SSI	Space Science Instrumentation
SSNPP	Springer Series on Nuclear and Particle Physics
SSOS	Springer Verlag Springer Series on Optical Sciences
SSPAR	Solid State Physics Advances in Research and Applications
SSPAS	Solid State Physics Advances in Research and Applications Supplement
SSPMA	Scientia Sinica Physica, Mechanica and Astronomica
SSPRv	Space and Solar Power Review
SSRv	Space Science Reviews
SSRvA	Soviet Scientific Reviews A Physics Reviews
SSRvC	Soviet Scientific Reviews C Mathematical Physics Reviews
SSRvD	Soviet Scientific Reviews D Physicochemical Biology Reviews
SSS	Social Studies of Science
SSSAJ	Soil Science Society of America Journal
SSSci	Solid State Sciences
SSSMP	Scientia Sinica Series Mathematical Physical Technical Sciences
SSSSc	Springer Series in Surface Sciences
SSSSS	Springer Verlag Springer Series on Solid State Sciences
SSSyn	Springer Verlag Springer Series on Synergetics
SSTec	Solid State Technology
SSTor	Studia Societatis Scientiarum Torunensis Sectio F Astronomia
SSWP	Springer Verlag Springer Series on Wave Phenomena
STAdM	Science and Technology of Advanced Materials
StaGP	Starlink General Paper
StAM	Studies in Applied Mathematics
stan.rept	Stanford Univ. Report
StarB	Starlink Bulletin
StarC	Starlink Cookbook
StarD	StarDate Magazine
StarG	Starlink Guide
StaSc	Statistical Science
StaSN	Starlink System Note
StAst	Strolling Astronomer
StaUN	Starlink User Note
StCeF	Studii si Cercetari de Fizica
StCeM	Studii si Cercetari Matematice
StCMA	Studii si Cercetary de Mecanica Aplicata
STECF	Space Telescope European Coordinating Facility Newsletter
Sterb	Der Sternenbote Monatsschrift fuer Oesterreichs Amateur-astronomen
STERJ	Solar Terrestrial and Environmental Research Japan
Stern	Die Sterne
Sterz	Sternzeit Mitteilungen der Astrnomischen Vereinigungen Aachen
StGeo	Studies in Geophysics
StGG	Studia Geophysica et Geodaetica
StGM	Studia Geotechnica et Mechanica
StHCG	Studies in High Energy Physics Cosmology and Gravitation
StHEP	Studies in High Energy Physics
StHMP	Studies in the History of Mathematics and the Physical Sciences
STIA	NASA STI/Recon Technical Report A
STICA	Space Technology Industrial and Commercial Applications
Stiin	Stiinta
STIN	NASA STI/Recon Technical Report N
stis.rept	Space Telescope STIS Instrument Science Report
StMat	Strength of Materials
StMet	Statistical Methodology
STMP	Springer Tracts in Modern Physics
StNws	ASTM Standardization News
StoAn	Stockholms Observatoriums Annaler
StoOR	Stockholms Observatoriums Reports
STP	Solar-Terrestrial Physics
Strai	Strain
StReL	Staub Reinhaltung Luft
Stroj	Strojarstvo
StrOp	Structural Optimization
stsc.rept	Space Telescope Science Inst Report
StSky	Star Sky
STSSP	Selected Topics in Solid State Physics
Sttur	Studies in turbulence
StuMa	Studia Mathematica
STVF	Samoletostroenie Tekhnika Vozdushnogo Flota
suba.prop	Subaru Proposal
SuEa	Sustainable Earth
SuMi	Superlattices and Microstructures
SunGe	Sun and Geosphere
Sunwo	Sunworld
suny.rept	State Univ. of New York, Stony Brook Report
SurIA	Surface and Interface Analysis
SurSc	Surface Science
SurSL	Surface Science Letters
SurSR	Surface Science Reports
SurSS	Surface Science Spectra
SuScT	Superconductor Science Technology
Sust	Sustainability
SuTMP	Surface Topography: Metrology and Properties
SUVSR	Scandinavian Union of Amateur Astronomers Variable Star Section
SvA	Soviet Astronomy
SvAer	Soviet Aeronautics
SvAL	Soviet Astronomy Letters
SvApM	Soviet Applied Mechanics
SVD	Shock Vibration Digest
svdc.rept	Space Vehicle Design Criteria (Environment)
SvGeo	Soviet Geologia
SVICB	Shock Vibration Information Center Shock Vibration Bulletin
SVICD	Shock Vibration Information Center Shock Vibration Digest
SVICI	Shock Vibration Information Center Shock Vibration Inform Digest
SVICP	Shock Vibration Information Center Shock Vibration Computer Programs
SvJNP	Soviet Journal of Nuclear Physics
SvJOT	Soviet Journal of Optical Technology
SvJPP	Soviet Journal of Plasma Physics
SvJQE	Soviet Journal of Quantum Electronics
SVPCS	Springer Verlag Springer Series on Physics Chemistry Space
SvPhA	Soviet Physics Astronomy
SvPhJ	Soviet Physics Journal
SvPhU	Soviet Physics Uspekhi
SvPro	Svarochnoe Proizvodstvo
SvRP	Soviet Radiophysics
SvUNT	Sverdlovsk Uralskii Nauchnyi Tsentr AN SSSR
SydOP	Sydney Observatory Papers
SyTec	Systems Technology
SZF	Solnechno-Zemnaya Fizika
SZPA	SIRIUS. Zeitschrift fuer Populaere Astronomie
TAASS	Topics in Astrophysics, Astrononmy, and Space Science
TAEMm	Tokyo Metropolitan College Aeronautical Engineering Memoirs
TAM	Theoretical and Applied Mechanics
TamCo	Astronomical Contributions from the University of South Florida Tampa
TANEs	Tartu Akademiia Nauk Estonskoi SSR
TAOS	Terrestrial, Atmospheric and Oceanic Sciences
TApPh	Topics in Applied Physics
TAPS	Transactions of the American Philosophical Society
TarOT	Tartu Astrofuusika Observatoorium Teated
TBBM	Techniques of Biochemical and Biophysical Morphology
TCaPS	Transactions of the Cambridge Philosophical Society
TCD	The Cryosphere Discussions
TCPh	Topics in Current Physics
TCry	The Cryosphere
TDAPR	Telecommunications and Data Acquisition Progress Report
TDM	2D Materials
TDR	3D Research
Tech	Technology
TecN	Technical News
TecRv	Technology Review
Tecto	Tectonics
Tectp	Tectonophysics
TeEng	Technological Engineering,
TekEl	Tekhnicheskaia Elektrodinamika
Telet	Telettra S
TelIn	Telematics Informatics
Tell	Tellus
TellA	Tellus Series A
TellB	Tellus Series B Chemical and Physical Meteorology B
TeLoA	Technika Lotnicza i Astronautyczna
TeMAE	Terrestrial Magnetism and Atmospheric Electricity
TeMag	Terrestrial Magnetism
TeNov	Terra Nova
TeoEl	Teoreticheskaia Elektrotekhnika
TeoPM	Teoreticheskaia i Prikladnaia Mekhanika
TeoVP	Teoriia Veroiatnostei i ee Primeneniia
TePhL	Technical Physics Letters
Teplo	Teploenergetika
Tepsg	Teplofizicheskie svoistva gazov
TepT	Teplofizika i Teplotekhnika
TepVT	Teplofizika Vysokikh Temperatur
TerCo	Osservatorio Astronomico di Collurania Teramo Contributi
TerMm	Osservatorio Astronomico di Collurania Teramo Memorie ed Osservazioni
TerNC	Osservatorio Astronomico di Collurania Teramo Note e Comunicazioni
Tesla	TESLA Electronics
TESS	AAS/AGU Triennial Earth-Sun Summit
TETB	Thyssen Edelstahl Technische Berichte
TFFAP	Teoriia Funktsii Funktsionalnyi Analiz i ikh Prilozheniia
TFizG	Teploobmen i Fizicheskaia Gazodinamika
Th&Ae	Thermophysics and Aeromechanics
ThAFM	Theoretical and Applied Fracture Mechanics
ThApC	Theoretical and Applied Climatology
ThAst	Theoretical Astrophysics
ThCFD	Theoretical and Computational Fluid Dynamics
ThEng	Thermal Engineering
TIFRL	Tata Institute of Fundamental Research Lectures on Mathematics and Physics
TIOA	Tomsk Institut Optiki Atmosfery CO AN SSSR
TISCI	Transactions of the Institute of Systems, Control and Information Engineers
TITas	Tsirkulyar Astronomicheskogo Instituta Akademiya Nauk Uzbekskoj SSR
TIUCS	Transactions of the International Union for Cooperation in Solar Research
TIzSS	Tbilisi Izdatel Sabchota Sakartvelo
TJAA	Turkish Journal of Astronomy and Astrophysics
TJAu	Telecommunication Journal of Australia
TJJPT	Tuijin Jishu Journal of Propulsion Technology
TJPh	Turkish Journal of Physics
TJSAI	Transactions of the Japanese Society for Artificial Intelligence
TJSAS	Japan Society of Aeronautical Space Sciences Transactions
TJSIE	Transactions of The Japanese Society of Irrigation, Drainage and Rural Engineering
TLHSQ	Transactions of the Literary and Historical Society of Quebec
TMatR	Translational Materials Research
TMKF	Technische Mitteilungen Krupp Forschungsberichte
TMOPR	Telecommunications and Mission Operations Progress Report
TMP	Theoretical and Mathematical Physics
TMPGO	Tagung ueber Mathematische Probleme Geodaesie Oberwolfach West Germany Bulleting Geodesique
TNEK	Teplovye Napriazheniia Elementakh Konstruktsii
TNKS	Tochnost i Nadezhnost Kiberneticheskikh Sistem
TNSAN	Transient Name Server AstroNote
TNSCR	Transient Name Server Classification Report
TNSFR	Transient Name Server Fast Radio Bursts
TNSTR	Transient Name Server Discovery Report
ToASC	Torino Accademia delle Scienze Classe di Scienze Fisiche Matematiche e Naturali Atti
ToIzL	Technisch oekonomische Informationen zivilen Luftfahrt
TokAB	Tokyo Astronomical Bulletin
TokRe	Tokyo Astronomical Observatory Reprints
TOMar	Travaux de l'Observatoire de Marseille
TosRv	Toshiba Review
TouCE	Toulouse Cepadues Editions
TOYal	Transactions of the Astronomical Observatory of Yale University
TPAG	Theory and Practice of Applied Geophysics
TPhCh	Topics in Physical Chemistry
TPhy	Techniques of Physics
TPRSV	Transactions and Proceedings of the Royal Society of Victoria
TRACE	Transactions of the Japan Society of Refrigerating and Air Conditioning Engineers
TrAeR	Transactions on Aerospace Research
TraGe	Travaux Geophysiques
TrAGU	Transactions, American Geophysical Union
TrAlm	Trudy Astrofizicheskogo Instituta Alma-Ata
TrDus	Trudy Instituta Astrofiziki Dushanbe
TreP	Osservatorio Privato Specola Ariel Treviso Italia Pubblicazione
TRET	Telecommunications and Radio Engineering Telecommunications
TrGeo	Treatise on Geochemistry
TrGRC	Geothermal Resources Council Transactions
TrGru	Tiflis Izdatel Metsniereba Akademiia Nauk Gruzinskoi SSR Matematicheskii Institut Trudy
TriA	Transactions of the Royal Irish Academy
TriP	Osservatorio Astronomico di Trieste Pubblicazioni
TrITA	Institut Teoreticheskoi Astronomii Trudy
TriTr	STLE Tribology Transactions
TrKaz	Trudy Kazanskaia Gorodkoj Astronomicheskoj Observatorii
TrKra	Seminar Kraevym Zadacham Trudy
TrLen	Trudy Astronomicheskoj Observatorii Leningrad
TrLit	Trudy Akademiia Nauk Litovskoi
TrMMO	Trudy Moskovskoe Matematicheskoe Obshchestvo
TrOS	Transactions of the Optical Society
TrPet	Trudy Seminar imeni G Petrovskogo
TrPul	Trudy Glavnoj Astronomicheskoj Observatorii v Pulkovo
TrRig	Trudy Astrofiz. Lab. Riga
TrSht	Trudy Gosudarstvennogo Astronomicheskogo Instituta
TrSpT	Transactions of Space Technology Japan
TrSSR	Trudy Akademiia Nauk SSSR Fizicheskii Institut
TrSta	Trudy Instituta Astrofiziki Stalinabad
TrTas	Trudy Tashkentskoj Astronomicheskoj Observatorii
TrTIM	Tiflis Izdatel Metsniereba Akademiia Nauk Gruzinskoi SSR Institut Geofiziki Trudy
TrTsA	TsAGI Trudy
TrTsI	TsIAM Trudy
TSDMO	Tellus Series Dynamic Meteorology and Oceanography
TSE	Thermal Science and Engineering
TSF	Thin Solid Films
TsHUJ	Tsing Hua University Journal
TSICE	Transactions of the Society of Instrument and Control Engineers
TsLvo	Tsirkulyar Astronomicheskoj Observatorii Lvov
TsPul	Tsirkulyary Glavnoj Astronomicheskoj Observatorii i Pulkove
TSRSG	Tohoku University Science Reports Series Geophysics
TsShe	Tsirkulyar Shemakhinskoj Astrofizicheskoj Observatorii
TSSLW	Travaux de la Societe des Sciences et des Letters de Wroclaw
TsSta	Tsirkulyar Stalinabadskoj Astronomicheskoj Observatorii
TsTas	Tsirkulyar Tashkentskoj Astronomicheskoj Observatorii
TsVse	Tsirkulyar Vses. astron.-geod. o-va
TTP	Trends in Theoretical Physics
TTSP	Transport Theory and Statistical Physics
TUAID	Tuebingen Universitaet Astronomisches Institut Diplomarbeit
TUASB	Tokyo University Institute of Space and Aeronautical Science Bulletin
TUASR	Tokyo University Institute of Space and Aeronautical Science Report
TUFEJ	Tokyo University Faculty of Engineering Journal Series
TUFER	Tokyo Denki University Faculty of Engineering Research Reports
tuft.rept	Tufts Univ. Report
TUISR	Tokyo University Institute Industrial Science Report
TUnGG	Technische Univ Geodesy Global Geodyn
turk.rept	Turku Univ. Report
TurTe	Turbulentnye techeniia
TvOC	Transvaal Observatory Circular
uat..rept	Arizona Univ., Tucson Report
UCAFR	Universitas Comeniana Acta Facultatis Rerum Naturalium Physica
